;run;power;nn;RMSE;cor;ME;MAE;run2
1;0.5_12;0.5;12;0.795079236;0.671424942;-0.087501615;0.630753748;1
2;0.5_14;0.5;14;0.829803114;0.631256343;-0.099464793;0.671057804;2
3;1_12;1;12;0.768773998;0.691457804;-0.062417428;0.611454361;3
4;1_14;1;14;0.795773752;0.663881677;-0.071137752;0.640988264;4
5;2_12;2;12;0.754271551;0.687244765;-0.021882669;0.595121262;5
6;2_14;2;14;0.768352812;0.673028194;-0.024498479;0.611236709;6
7;3_12;3;12;0.762477688;0.674737456;0.000191825;0.583819711;7
8;3_14;3;14;0.769596274;0.667083627;0.00032788;0.59158913;8
9;4_12;4;12;0.768928469;0.670644465;0.011862652;0.58105774;9
10;4_14;4;14;0.77237368;0.666824804;0.012626565;0.584469564;10
